Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000179,    8900.00000    ,    0.00000000    ,  -0.108472933E-10,    0.00000000    
0000000180,    8950.00000    ,    0.00000000    ,  -0.102173256E-10,    0.00000000    
0000000181,    9000.00000    ,    0.00000000    ,  -0.959712895E-11,    0.00000000    
0000000182,    9050.00000    ,    0.00000000    ,  -0.898613572E-11,    0.00000000    
0000000183,    9100.00000    ,    0.00000000    ,  -0.838378223E-11,    0.00000000    
0000000184,    9150.00000    ,    0.00000000    ,  -0.778950761E-11,    0.00000000    
0000000185,    9200.00000    ,    0.00000000    ,  -0.720275277E-11,    0.00000000    
0000000186,    9250.00000    ,    0.00000000    ,  -0.662295905E-11,    0.00000000    
0000000187,    9300.00000    ,    0.00000000    ,  -0.604956654E-11,    0.00000000    
0000000188,    9350.00000    ,    0.00000000    ,  -0.548201200E-11,    0.00000000    
0000000189,    9400.00000    ,    0.00000000    ,  -0.491972616E-11,    0.00000000    
0000000190,    9450.00000    ,    0.00000000    ,  -0.436213016E-11,    0.00000000    
0000000191,    9500.00000    ,    0.00000000    ,  -0.380863085E-11,    0.00000000    
0000000192,    9550.00000    ,    0.00000000    ,  -0.325861410E-11,    0.00000000    
0000000193,    9600.00000    ,    0.00000000    ,  -0.271143513E-11,    0.00000000    
0000000194,    9650.00000    ,    0.00000000    ,  -0.216640427E-11,    0.00000000    
0000000195,    9700.00000    ,    0.00000000    ,  -0.162276812E-11,    0.00000000    
0000000196,    9750.00000    ,    0.00000000    ,  -0.107970203E-11,    0.00000000    
0000000197,    9800.00000    ,    0.00000000    ,  -0.529704518E-12,    0.00000000    
0000000198,    9850.00000    ,    0.00000000    ,   0.541780212E-12,    0.00000000    
0000000199,    9900.00000    ,    0.00000000    ,   0.101674981E-11,    0.00000000    
0000000200,    9950.00000    ,    0.00000000    ,   0.111272002E-11,    0.00000000    
0000000201,    10000.0000    ,    0.00000000    ,    0.00000000    ,   0.114754258E-11
0000000202,    0.00000000    ,    50.0000000    ,    0.00000000    ,   0.645764817E-07
0000000203,    50.0000000    ,    50.0000000    ,  -0.441288933E-07,   0.149532611E-07
0000000204,    100.000000    ,    50.0000000    ,  -0.508635632E-07,   0.438611914E-08
0000000205,    150.000000    ,    50.0000000    ,  -0.508635632E-07,  -0.375328239E-09
0000000206,    200.000000    ,    50.0000000    ,  -0.502343393E-07,  -0.816417544E-09
0000000207,    250.000000    ,    50.0000000    ,  -0.487075773E-07,    0.00000000    
0000000208,    300.000000    ,    50.0000000    ,  -0.480322026E-07,   0.137373267E-08
0000000209,    350.000000    ,    50.0000000    ,  -0.484059760E-07,   0.206631243E-08
0000000210,    400.000000    ,    50.0000000    ,  -0.484059760E-07,   0.335088964E-08
0000000211,    450.000000    ,    50.0000000    ,  -0.482080571E-07,   0.383625296E-08
0000000212,    500.000000    ,    50.0000000    ,  -0.449331956E-07,   0.790893312E-09
0000000213,    550.000000    ,    50.0000000    ,  -0.324394440E-07,  -0.204039196E-07
0000000214,    600.000000    ,    50.0000000    ,  -0.324394440E-07,  -0.102791245E-07
0000000215,    650.000000    ,    50.0000000    ,  -0.286652977E-07,  -0.445603698E-08
0000000216,    700.000000    ,    50.0000000    ,  -0.247184475E-07,  -0.221572430E-08
0000000217,    750.000000    ,    50.0000000    ,  -0.218133367E-07,  -0.126486668E-08
0000000218,    800.000000    ,    50.0000000    ,  -0.197781874E-07,  -0.810221814E-09
0000000219,    850.000000    ,    50.0000000    ,  -0.183242561E-07,  -0.567070436E-09
0000000220,    900.000000    ,    50.0000000    ,  -0.172454054E-07,  -0.424025435E-09
0000000221,    950.000000    ,    50.0000000    ,  -0.164127272E-07,  -0.333085534E-09
0000000222,    1000.00000    ,    50.0000000    ,  -0.157470352E-07,  -0.271574399E-09
0000000223,    1050.00000    ,    50.0000000    ,  -0.151987737E-07,  -0.227871060E-09
0000000224,    1100.00000    ,    50.0000000    ,  -0.147359433E-07,  -0.195587178E-09
0000000225,    1150.00000    ,    50.0000000    ,  -0.143371500E-07,  -0.170993540E-09
0000000226,    1200.00000    ,    50.0000000    ,  -0.139875924E-07,  -0.151798485E-09
